
BUSES AND NODES IN ACTIVE CIRCUIT: ieee37

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus" 230.000          ( 0            , 0.02         )     No           3          1    2    3 
"799"         4.800          ( 0            , 0.01         )     No           3          1    2    3 
"709"         4.800          ( 0            , -4.93        )     No           3          1    2    3 
"775"         0.480          ( 0            , -4.94        )     No           3          1    2    3 
"701"         4.800          ( 0            , -1.85        )     No           3          1    2    3 
"702"         4.800          ( 0            , -2.81        )     No           3          1    2    3 
"705"         4.800          ( -0.4         , -2.81        )     No           3          1    2    3 
"713"         4.800          ( 0.36         , -2.81        )     No           3          1    2    3 
"703"         4.800          ( 0            , -4.13        )     No           3          1    2    3 
"727"         4.800          ( -0.24        , -4.13        )     No           3          1    2    3 
"730"         4.800          ( 0            , -4.73        )     No           3          1    2    3 
"704"         4.800          ( 0.88         , -2.81        )     No           3          1    2    3 
"714"         4.800          ( 0.88         , -2.89        )     No           3          1    2    3 
"720"         4.800          ( 1.68         , -2.81        )     No           3          1    2    3 
"742"         4.800          ( -0.72        , -2.81        )     No           3          1    2    3 
"712"         4.800          ( -0.4         , -2.57        )     No           3          1    2    3 
"706"         4.800          ( 1.68         , -3.41        )     No           3          1    2    3 
"725"         4.800          ( 1.68         , -3.69        )     No           3          1    2    3 
"707"         4.800          ( 1.68         , -1.89        )     No           3          1    2    3 
"724"         4.800          ( 1.68         , -1.13        )     No           3          1    2    3 
"722"         4.800          ( 1.56         , -1.89        )     No           3          1    2    3 
"708"         4.800          ( -0.32        , -4.93        )     No           3          1    2    3 
"733"         4.800          ( -0.32        , -5.25        )     No           3          1    2    3 
"732"         4.800          ( -0.64        , -4.93        )     No           3          1    2    3 
"731"         4.800          ( 0.6          , -4.93        )     No           3          1    2    3 
"710"         4.800          ( -0.84        , -5.81        )     No           3          1    2    3 
"735"         4.800          ( -0.84        , -6.01        )     No           3          1    2    3 
"736"         4.800          ( -0.84        , -4.53        )     No           3          1    2    3 
"711"         4.800          ( 0.48         , -6.45        )     No           3          1    2    3 
"741"         4.800          ( 0.88         , -6.45        )     No           3          1    2    3 
"740"         4.800          ( 0.48         , -6.25        )     No           3          1    2    3 
"718"         4.800          ( 0.88         , -3.41        )     No           3          1    2    3 
"744"         4.800          ( -0.52        , -4.13        )     No           3          1    2    3 
"734"         4.800          ( -0.32        , -5.81        )     No           3          1    2    3 
"737"         4.800          ( -0.32        , -6.45        )     No           3          1    2    3 
"738"         4.800          ( 0.08         , -6.45        )     No           3          1    2    3 
"728"         4.800          ( -0.52        , -4.33        )     No           3          1    2    3 
"729"         4.800          ( -0.8         , -4.13        )     No           3          1    2    3 
"799r"        4.800          ( 0            , 0            )     No           3          1    2    3 
