hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2685.59, -3.66252, 2819.01, -124.002, 2739.86, 113.776, 268.413, 145.779, 222.059, 27.3411, 254.144, -84.4247
2, 0.00000, 2685.88, -3.64545, 2819.82, -123.998, 2739.88, 113.777, 268.402, 145.789, 222.074, 27.3474, 254.127, -84.4207
3, 0.00000, 2685.83, -3.64879, 2819.67, -123.998, 2739.88, 113.777, 268.401, 145.787, 222.068, 27.3462, 254.128, -84.4214
4, 0.00000, 2685.61, -3.66235, 2819.02, -124.001, 2739.87, 113.777, 268.404, 145.779, 222.053, 27.3414, 254.136, -84.4248
5, 0.00000, 2685.33, -3.67932, 2818.21, -124.005, 2739.85, 113.776, 268.407, 145.769, 222.035, 27.3354, 254.146, -84.4293
6, 0.00000, 2685.39, -3.67597, 2818.37, -124.005, 2739.85, 113.776, 268.408, 145.771, 222.042, 27.3366, 254.145, -84.4286
7, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 268.407, 145.775, 222.049, 27.339, 254.141, -84.4268
8, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 268.403, 145.789, 222.075, 27.3474, 254.127, -84.4207
9, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 268.399, 145.795, 222.083, 27.351, 254.12, -84.418
10, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 268.404, 145.773, 222.039, 27.3378, 254.141, -84.4273
11, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 268.408, 145.771, 222.041, 27.3366, 254.145, -84.4285
12, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 268.407, 145.775, 222.049, 27.339, 254.141, -84.4268
13, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 268.403, 145.789, 222.075, 27.3474, 254.127, -84.4207
14, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 268.399, 145.795, 222.083, 27.351, 254.12, -84.418
15, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 268.404, 145.773, 222.039, 27.3378, 254.141, -84.4273
16, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 268.408, 145.771, 222.041, 27.3366, 254.145, -84.4285
17, 0.00000, 2685.5, -3.66919, 2818.69, -124.003, 2739.86, 113.776, 268.407, 145.775, 222.049, 27.339, 254.141, -84.4268
18, 0.00000, 2685.88, -3.64546, 2819.82, -123.998, 2739.88, 113.777, 268.403, 145.789, 222.075, 27.3474, 254.127, -84.4207
19, 0.00000, 2686.05, -3.63525, 2820.31, -123.995, 2739.9, 113.778, 268.399, 145.795, 222.083, 27.351, 254.12, -84.418
20, 0.00000, 2685.44, -3.67248, 2818.54, -124.004, 2739.86, 113.776, 268.404, 145.773, 222.039, 27.3378, 254.141, -84.4273
21, 0.00000, 2685.39, -3.67596, 2818.37, -124.005, 2739.85, 113.776, 268.408, 145.771, 222.041, 27.3366, 254.145, -84.4285
22, 0.00000, 2685.61, -3.66241, 2819.02, -124.002, 2739.86, 113.777, 268.406, 145.779, 222.057, 27.3414, 254.137, -84.4251
23, 0.00000, 2685.88, -3.64545, 2819.82, -123.998, 2739.88, 113.777, 268.402, 145.789, 222.074, 27.3474, 254.127, -84.4207
24, 0.00000, 2685.83, -3.64879, 2819.67, -123.998, 2739.88, 113.777, 268.401, 145.787, 222.068, 27.3462, 254.128, -84.4214
