hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2669.74, -4.26114, 2796.08, -124.102, 2741.28, 113.555, 23.1618, 1.4949, 26.0927, -169.519, 4.83996, 58.8517
2, 0.00000, 2673.66, -4.02041, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66941, 26.1842, -169.398, 4.84209, 58.7696
3, 0.00000, 2672.89, -4.06814, 2805.26, -124.057, 2741.55, 113.563, 23.2216, 1.63473, 26.1658, -169.423, 4.84141, 58.7845
4, 0.00000, 2669.78, -4.26073, 2796.1, -124.101, 2741.3, 113.556, 23.1618, 1.49476, 26.0927, -169.52, 4.83983, 58.8513
5, 0.00000, 2665.84, -4.50317, 2784.56, -124.157, 2740.99, 113.546, 23.0862, 1.31882, 26.0002, -169.641, 4.83768, 58.9351
6, 0.00000, 2666.63, -4.45478, 2786.86, -124.146, 2741.04, 113.548, 23.1015, 1.35395, 26.0189, -169.616, 4.83838, 58.9198
7, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
8, 0.00000, 2673.66, -4.02043, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66939, 26.1842, -169.398, 4.84212, 58.7697
9, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77368, 26.2386, -169.326, 4.84333, 58.7207
10, 0.00000, 2667.43, -4.40586, 2789.19, -124.134, 2741.12, 113.55, 23.1166, 1.38939, 26.0373, -169.593, 4.83844, 58.9009
11, 0.00000, 2666.63, -4.45438, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35419, 26.0187, -169.617, 4.83799, 58.9175
12, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
13, 0.00000, 2673.66, -4.02043, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66939, 26.1842, -169.398, 4.84212, 58.7697
14, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77368, 26.2386, -169.326, 4.84333, 58.7207
15, 0.00000, 2667.43, -4.40586, 2789.19, -124.134, 2741.12, 113.55, 23.1166, 1.38939, 26.0373, -169.593, 4.83844, 58.9009
16, 0.00000, 2666.63, -4.45438, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35419, 26.0187, -169.617, 4.83799, 58.9175
17, 0.00000, 2668.21, -4.35753, 2791.49, -124.124, 2741.17, 113.552, 23.1317, 1.42448, 26.0559, -169.568, 4.83907, 58.8852
18, 0.00000, 2673.66, -4.02043, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66939, 26.1842, -169.398, 4.84212, 58.7697
19, 0.00000, 2675.97, -3.87712, 2814.34, -124.012, 2741.78, 113.571, 23.281, 1.77368, 26.2386, -169.326, 4.84333, 58.7207
20, 0.00000, 2667.43, -4.40586, 2789.19, -124.134, 2741.12, 113.55, 23.1166, 1.38939, 26.0373, -169.593, 4.83844, 58.9009
21, 0.00000, 2666.63, -4.45438, 2786.88, -124.145, 2741.05, 113.548, 23.1014, 1.35419, 26.0187, -169.617, 4.83799, 58.9175
22, 0.00000, 2669.78, -4.26082, 2796.09, -124.101, 2741.29, 113.556, 23.1618, 1.4947, 26.0927, -169.519, 4.83995, 58.8519
23, 0.00000, 2673.66, -4.02041, 2807.53, -124.046, 2741.6, 113.565, 23.2366, 1.66941, 26.1842, -169.398, 4.84209, 58.7696
24, 0.00000, 2672.89, -4.06814, 2805.26, -124.057, 2741.55, 113.563, 23.2216, 1.63473, 26.1658, -169.423, 4.84141, 58.7845
